mask_rate,scenario,method,coupling_mean,coupling_median,rmse_omega_mean,objective_evals_mean,runtime_ms_mean,corr_coupling_rmse_omega,method_family
0.1,S2_Gappy,B1,0.7490148130182293,0.7485520440321856,0.20826235922812986,201.0,31.91615343093872,0.27567164577752584,engine
0.1,S2_Gappy,B2,0.0,0.0,6.221574326241322e+201,201.0,32.21732880920172,nan,engine
0.1,S2_Gappy,BL_LM_PT,0.7448793565749078,0.7505924835703732,0.19186781783805198,201.0,32.89909092709422,-0.11839249624457786,baseline
0.1,S2_Gappy,BL_LM_RAW,0.7458479103709946,0.7465289374323139,0.20408417565832065,201.0,29.98713068664074,-0.10863059328257926,baseline
0.1,S2_Gappy,P0,0.7448793718489906,0.7505925243008589,0.1918678107840017,201.0,34.28676575422287,-0.11839218138720531,engine
0.2,S2_Gappy,B1,0.7478952785944468,0.7504542877526902,0.2103377832692582,201.0,31.399429589509964,-0.09021834489628172,engine
0.2,S2_Gappy,B2,0.0,0.0,2.0328876425418892e+183,201.0,32.977728359401226,nan,engine
0.2,S2_Gappy,BL_LM_PT,0.7359081125794568,0.7269292527878053,0.19152612004513112,201.0,32.69792106002569,0.08230392566105799,baseline
0.2,S2_Gappy,BL_LM_RAW,0.7376364456382093,0.7306339800361268,0.20490505846818094,201.0,30.119079165160656,-0.5113626467413683,baseline
0.2,S2_Gappy,P0,0.735908128856878,0.7269293064003044,0.1915261100822429,201.0,34.22084515914321,0.08230343843684415,engine
0.3,S2_Gappy,B1,0.7494032516155181,0.754549116290572,0.20711227790271414,201.0,31.61552334204316,0.35289372821131826,engine
0.3,S2_Gappy,B2,0.15085838934661916,0.0,2.335673045205686e+162,201.0,31.90621640533209,-0.0,engine
0.3,S2_Gappy,BL_LM_PT,0.745131998307649,0.7354261706309793,0.19117413435859099,201.0,33.01113918423653,0.042952504986546215,baseline
0.3,S2_Gappy,BL_LM_RAW,0.7413031423872702,0.7273455228028142,0.20253442895989524,201.0,29.92319604381919,-0.35775109722693205,baseline
0.3,S2_Gappy,P0,0.7451320328138424,0.7354259480824112,0.19117412780490714,201.0,34.80197507888079,0.042951591206039724,engine
0.4,S2_Gappy,B1,0.7445825802294306,0.7399150803348643,0.20648357363961636,201.0,31.55718082562089,-0.03810024172832876,engine
0.4,S2_Gappy,B2,0.51515887618803,0.6979528876346137,7.694139734523565e+155,201.0,32.148762326687574,-0.0,engine
0.4,S2_Gappy,BL_LM_PT,0.7525931438975677,0.7510691060667827,0.19090326314600095,201.0,33.91873175278306,0.32703057536175434,baseline
0.4,S2_Gappy,BL_LM_RAW,0.7468143459502039,0.746369959315043,0.20287528620081613,201.0,30.629647709429264,-0.41582604477336255,baseline
0.4,S2_Gappy,P0,0.7525932242143651,0.7510692882681997,0.19090325203321054,201.0,34.55441752448678,0.32702956036554676,engine
0.5,S2_Gappy,B1,0.7548737005409627,0.7618821344870139,0.2108799162789842,201.0,32.04963346943259,-0.6631159990910233,engine
0.5,S2_Gappy,B2,0.6803636859118297,0.7641859300955489,8.400309743237511e+139,201.0,32.16155897825956,-0.9825314033679685,engine
0.5,S2_Gappy,BL_LM_PT,0.7425444103322799,0.729570549086906,0.19201835482260732,201.0,33.45649614930153,0.3827117144837554,baseline
0.5,S2_Gappy,BL_LM_RAW,0.7423144508356839,0.7353644513167316,0.20577236823440154,201.0,30.39537239819765,-0.5021864347191306,baseline
0.5,S2_Gappy,P0,0.7425442914557602,0.729570509092055,0.1920183446797213,201.0,35.5127870105207,0.38271193492140554,engine
0.6,S2_Gappy,B1,0.7677136474494575,0.7724336089168027,0.20941152798872512,201.0,31.674914434552193,-0.7380616094437206,engine
0.6,S2_Gappy,B2,0.7644652922942881,0.7629301289304213,5.12603446830679e+125,201.0,31.920876633375883,-0.21347497950593422,engine
0.6,S2_Gappy,BL_LM_PT,0.7389030155232519,0.7287025960072376,0.19232756630597705,201.0,33.078533411026,0.5365930073264326,baseline
0.6,S2_Gappy,BL_LM_RAW,0.7407652828799736,0.7322522806954619,0.2054109288489486,201.0,30.110274255275726,-0.44714054443218254,baseline
