mask_rate,scenario,method,rmse_tau_mean,rmse_omega_mean,loss_final_median,eff_div_rate_1e6,eff_div_rate_1e8,diverge_rate,objective_evals_mean,runtime_ms_mean,method_family
0.1,S2_Gappy,BL_LM_PT,0.04163226677266101,0.19186781783805198,14.068223900368071,0.0,0.0,0.0,201.0,33.57449434697628,baseline
0.1,S2_Gappy,BL_LM_RAW,0.18081269992016766,0.20408417565832065,109.31279641663494,0.0,0.0,0.0,201.0,30.69362249225378,baseline
0.1,S2_Gappy,BL_OGTR_CF,0.04748538011695904,0.00443274853801168,6.527155698460402,0.0,0.0,0.0,500.0,19.203595258295536,baseline
0.1,S2_Gappy,P0,0.0416321715619476,0.1918678107840017,14.068224811653506,0.0,0.0,0.0,201.0,35.17804080620408,engine
0.2,S2_Gappy,BL_LM_PT,0.0382080230319083,0.19152612004513112,12.823464881296918,0.0,0.0,0.0,201.0,32.91151123121381,baseline
0.2,S2_Gappy,BL_LM_RAW,0.1748390211840036,0.20490505846818094,96.81489047385489,0.0,0.0,0.0,201.0,30.014685913920403,baseline
0.2,S2_Gappy,BL_OGTR_CF,0.04479532163742687,0.004058479532163721,5.288648432485935,0.0,0.0,0.0,500.0,18.799119722098112,baseline
0.2,S2_Gappy,P0,0.038207904796789205,0.1915261100822429,12.823463128150095,0.0,0.0,0.0,201.0,34.59658268839121,engine
0.3,S2_Gappy,BL_LM_PT,0.04449581252086332,0.19117413435859099,10.339390704571738,0.0,0.0,0.0,201.0,32.90884969756007,baseline
0.3,S2_Gappy,BL_LM_RAW,0.19138367378903604,0.20253442895989524,83.27573236015189,0.0,0.0,0.0,201.0,30.130750499665737,baseline
0.3,S2_Gappy,BL_OGTR_CF,0.04035087719298242,0.004058479532163721,4.321799429153656,0.0,0.0,0.0,500.0,18.836097605526447,baseline
0.3,S2_Gappy,P0,0.044495809263135885,0.19117412780490714,10.339390491812189,0.0,0.0,0.0,201.0,35.009988863021135,engine
0.4,S2_Gappy,BL_LM_PT,0.04458857179189075,0.19090326314600095,9.254192226697072,0.0,0.0,0.0,201.0,32.866859063506126,baseline
0.4,S2_Gappy,BL_LM_RAW,0.18625747936942585,0.20287528620081613,78.18184420896634,0.0,0.0,0.0,201.0,29.9807864241302,baseline
0.4,S2_Gappy,BL_OGTR_CF,0.04035087719298242,0.004058479532163721,3.7262020118033528,0.0,0.0,0.0,500.0,18.94440660253167,baseline
0.4,S2_Gappy,P0,0.044588520189928274,0.19090325203321054,9.254195156322268,0.0,0.0,0.0,201.0,34.977169055491686,engine
0.5,S2_Gappy,BL_LM_PT,0.04883182712200081,0.19201835482260732,8.655796058994394,0.0,0.0,0.0,201.0,32.78107373043895,baseline
0.5,S2_Gappy,BL_LM_RAW,0.17710615463815962,0.20577236823440154,59.166168606583355,0.0,0.0,0.0,201.0,30.394212808459997,baseline
0.5,S2_Gappy,BL_OGTR_CF,0.04035087719298242,0.004058479532163721,3.181959230056118,0.0,0.0,0.0,500.0,18.585729505866766,baseline
0.5,S2_Gappy,P0,0.04883167564152073,0.1920183446797213,8.655796163478932,0.0,0.0,0.0,201.0,35.03938056528568,engine
0.6,S2_Gappy,BL_LM_PT,0.048449225822129106,0.19232756630597705,7.292788798872705,0.0,0.0,0.0,201.0,33.38261125609279,baseline
0.6,S2_Gappy,BL_LM_RAW,0.18644079631183025,0.2054109288489486,50.62953461519009,0.0,0.0,0.0,201.0,29.945621266961098,baseline
0.6,S2_Gappy,BL_OGTR_CF,0.043040935672514595,0.00443274853801168,2.399405515861494,0.0,0.0,0.0,500.0,18.644097167998552,baseline
0.6,S2_Gappy,P0,0.04844894210822619,0.19232754920306078,7.292800563028143,0.0,0.0,0.0,201.0,34.386379178613424,engine
0.7,S2_Gappy,BL_LM_PT,0.055560283538816715,0.19340393608273793,4.667369461842474,0.0,0.0,0.0,201.0,32.95651087537408,baseline
0.7,S2_Gappy,BL_LM_RAW,0.18208860960512205,0.20659492654339595,32.79245205039184,0.0,0.0,0.0,201.0,30.021664313971996,baseline
0.7,S2_Gappy,BL_OGTR_CF,0.043040935672514595,0.00443274853801168,1.8683015299565273,0.0,0.0,0.0,500.0,18.730090651661158,baseline
0.7,S2_Gappy,P0,0.05355911081755421,0.19322024045522973,4.667366359718257,0.0,0.0,0.0,201.0,34.76911885663867,engine
0.8,S2_Gappy,BL_LM_PT,0.07101058248997436,0.19443727715167275,3.24351233190541,0.0,0.0,0.0,201.0,33.27945955097675,baseline
0.8,S2_Gappy,BL_LM_RAW,0.18899831582448492,0.20533504242326392,24.517692142812592,0.0,0.0,0.0,201.0,30.145282577723265,baseline
0.8,S2_Gappy,BL_OGTR_CF,0.03859649122807015,0.00443274853801168,1.4066925072847938,0.0,0.0,0.0,500.0,18.809813167899847,baseline
0.8,S2_Gappy,P0,0.0629161472348192,0.19393057227622906,3.5143415844247583,0.0,0.0,0.0,201.0,34.81433009728789,engine
